listing_id,title,location_raw,transaction_raw,transaction_category,property_type,price_raw,modified_date_list,listing_url,scraped_at,surface_area,price,currency,price_type,description,region,city,locality,inserted_date,modified_date,contact_phone,photo_count,rooms_raw,bedrooms,has_air_conditioning,has_heating,has_elevator,has_pool,has_garage,has_garden,price_per_m2
3448041,Bel s3 à soukra proche d,La Soukra,Location,RENT,App. 4 pièc,1 150,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3448041&titre=Bel s3 à soukra proche du hamadi abid,2026-01-31T20:35:38.432793+00:00,130.0,1150.0,TND,TOTAL,a #louer bel appartement #s3 à #soukra proche de #hamadi abid avec #place de parking privé au 2ème étage d'une résidence calme et garder #1150dt y compris frais de syndic composé d'un salon avec un balcon cuisine avec des placards et séchoir salle d'eau et salle de bain 3 chambres à coucher une avec placard 2 climatiseurs et chauffage central pour plus d'informations veuillez contacter directement notre agence immobilière 53 456 949 ou 27 117 127,Ariana,La Soukra,La Soukra,27/01/2026,31/01/2026,53456949,5,,,True,True,False,False,False,False,8.85
3448664,Terrain avec titre fonci,Tabarka,Terrain,SALE,Terrain nu,60 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3448664&titre=Terrain avec titre foncier,2026-01-31T20:35:38.998445+00:00,300.0,60000.0,TND,TOTAL,a vendre un beau lot de terrain d'une superficie de 300 m2 . prix : 60md avec titre foncier . vue degagee sur mer et la ville de tabarka . merci de me contacter par message sur watsap :  23950055 .,Jendouba,Tabarka,Tabarka,31/01/2026,31/01/2026,23950055,1,,,False,False,False,False,False,False,200.0
3445758,Mornag prix important,El Gounna,Terrain,SALE,Terrain agr,100 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3445758&titre=Mornag prix important,2026-01-31T20:35:39.603482+00:00,50.0,100000.0,TND,TOTAL,a vendre un terrain agricole mornag elgouna de 5 hectars avec un prix tres important 20 000d/ha soit 100 md les 5 hectarts  tel : 96 151 018,Ben arous,El Gounna,El Gounna,11/01/2026,31/01/2026,21623920185,2,,,False,False,False,False,False,False,2000.0
3448345,S 2 meublé lac 2,Berge Du Lac,Location,RENT,App. 3 pièc,3 500,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3448345&titre=S 2 meublé lac 2,2026-01-31T20:35:40.182902+00:00,120.0,3500.0,TND,TOTAL,"lac 2 juste derrière clinique hannibal, location s+2 meublé très haut standing au 7ème étage avec vue dégagée sur le lac. il se compose d'un salon, salle à manger, cuisine équipée  et aménagée avec un séchoir, une salle de bain, une salle d'eau, 2 chambres à coucher avec dressing, chauffé et climatisé avec place de parking au sous sol. disponible à partir du 1er février. prix : 3500 dt par mois. merci d'appeler le 29912201 pour une visite",Tunis,Berge Du Lac,Berge Du Lac,29/01/2026,31/01/2026,29912201,5,s+2,2.0,True,False,False,False,False,False,29.17
3430594,Terrain sur la route,Goubellat,Terrain,SALE,Terrain agr,1 170 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3430594&titre=Terrain sur la route,2026-01-31T20:35:40.771976+00:00,260.0,1170000.0,TND,TOTAL,a vendre un terrain agricole de 26 hectars au bord de la route de sidi medaine vers goubellat consiellé pour zitoun ; louz .prés de l'eau et electricité . avec titre bleu prix:  45 000d /ha  soit total: 1 170 000 d  négociable  tel : 26 568 533,Beja,Goubellat,Goubellat,16/10/2025,31/01/2026,21623920185,2,,,False,False,False,False,False,False,4500.0
3424329,Terrain mejez el bab,Mejez El Bab,Terrain,SALE,Terrain agr,28 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3424329&titre=Terrain mejez el bab,2026-01-31T20:35:41.353300+00:00,420.0,28000.0,TND,TOTAL,a vendre un terrain agricole de 42 ha a mejez el bab près de l' entrée autoroute béja prix 28 000d/ha négociable tél 26 568 533,Beja,Mejez El Bab,Mejez El Bab,10/09/2025,31/01/2026,21623920185,5,,,False,False,False,False,False,False,66.67
3432664,Pour duplex  ter  211m2  en,Ariana,Terrain,SALE,Terrain nu,147 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3432664&titre=Pour duplex  ter  211m2  en  100m2 rdc  100m2  etg,2026-01-31T20:35:41.958613+00:00,210.0,147000.0,TND,TOTAL,ariana  prés  cité  hédi nouira  et  a  3-5mn  du  rompoint  l 'escale  bref  avec  accés  facile a tt endroit -  a vendre ter : 210m2  (  facade : 14m  sur  15m  )  constructible  en jumelé  avec voisin  possible  a batir  : 100m2  rdc  et  100m2  étage  le reste  pour garage de voiture  aussi  pour jardin - pour visite sur  rdv  prés station   agil  cité olympique  manzeh / tél : 53999911,Ariana,Ariana,Ariana,28/10/2025,31/01/2026,53999911,0,,,False,False,False,False,True,True,700.0
3432663,Ter  210m2  en jumelé  avec v,Ariana,Terrain,SALE,Terrain nu,147 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3432663&titre=Ter  210m2  en jumelé  avec voisin  pour duplex,2026-01-31T20:35:42.540842+00:00,210.0,147000.0,TND,TOTAL,ariana  prés  cité  hédi nouira  et  a  3-5mn  du  rompoint  l 'escale  bref  avec  accés  facile a tt endroit -  a vendre ter : 210m2  (  facade : 14m  sur  15m  )  constructible  en jumelé  avec voisin  possible  a batir  : 100m2  rdc  et  100m2  étage  le reste  pour garage de voiture  aussi  pour jardin - pour visite sur  rdv  prés station   agil  cité olympique  manzeh / tél : 53999911,Ariana,Ariana,Ariana,28/10/2025,31/01/2026,53999911,0,,,False,False,False,False,True,True,700.0
3436007,Très joli bureau 150 m2,Berge Du Lac,Bureaux & Commer,SALE,Bureau,4 375,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3436007&titre=Très joli bureau 150 m2 retapé à neuf au lac 1,2026-01-31T20:35:43.128484+00:00,150.0,4375.0,TND,TOTAL,"darek immobilière propose à la location un bureau de très haut standing au lac 1, entièrement rénové, dune superficie de 150 m². composition : hall, open space, bureau de direction, salle de réunion, kitchenette, 2 toilettes. équipements : faux plafond acoustique, moquette, double vitrage, câblage réseau, climatisation centrale chaud/froid, sécurité, parking inclus. localisation : à 3 min dune station de bus, accès direct gp9, orienté est. prix : 4 375 dt ht / mois (parking inclus). contact : 51 603 900 / 99 603 906 / 51 614 130",Tunis,Berge Du Lac,Berge Du Lac,17/11/2025,31/01/2026,+216 51 603 900,5,,,True,False,False,False,False,False,29.17
3417523,Villa  au  prix  d appt  trés,Marsa Ennassim,Vente,SALE,Maisons,320 000,31/01/2026,http://www.tunisie-annonce.com/Details_Annonces_Immobilier.asp?cod_ann=3417523&titre=Villa  au  prix  d appt  trés propre  a voir,2026-01-31T20:35:43.715264+00:00,395.0,320000.0,TND,TOTAL,au  prix  d ' appt  a vendre  villa  (  rdc )   couvert :  100m2  -  terrain :  395m2 (  s+2  ) salon . s manger   -  2  ch a coucher - sdb - cuisine spacieuse (  semi équipée ) ouvre sur  grande terrasse et jardin - sdb - chambre extérieur ( débarra ) - garage de  2 voitures -  grande jardin  sur  les  4 cotés  - possible  pour  étage  -  bref  villa  trés  trés  propre  et  zéro  dépence  - - pour visite sur  rdv  prés station  agil  cité plympique  el-manzeh - tél  : 53999911,Tunis,Marsa Ennassim,Marsa Ennassim,04/08/2025,31/01/2026,53999911,0,s+2,2.0,False,False,False,False,True,True,810.13
